person_id,position,years,team,b_avg,b_obp,b_slg,b_iso,b_ops,b_k_rate,b_hr_rate,b_clutch,b_war_162
albies000ozh,2B,9,ATL,0.266,0.320,0.455,0.189,0.774,0.164,0.038,-1.044,3.803
alonso000pet,1B,7,NYM,0.253,0.341,0.516,0.263,0.857,0.228,0.070,-2.631,3.743
altuve001jos,2B,10,HOU,0.302,0.369,0.493,0.191,0.862,0.144,0.042,-4.631,5.049
alvare000yor,DH,7,HOU,0.297,0.389,0.573,0.276,0.961,0.197,0.069,-1.679,5.803
anders003tim,SS,10,CHW,0.276,0.307,0.407,0.131,0.714,0.237,0.025,-3.735,2.486
arenad001nol,3B,10,COL,0.283,0.344,0.509,0.227,0.854,0.146,0.054,1.905,5.297
arraez000lui,2B,7,MIN,0.317,0.363,0.413,0.096,0.777,0.061,0.011,0.479,3.161
bader-000har,CF,9,STL,0.247,0.313,0.401,0.154,0.714,0.244,0.032,3.275,3.028
baez--000jav,SS,10,CHC,0.255,0.295,0.439,0.184,0.734,0.267,0.041,0.623,3.545
bell--007jos,1B,10,PIT,0.256,0.341,0.443,0.187,0.785,0.186,0.043,-4.121,1.086
bellin000cod,OF,9,LAD,0.261,0.334,0.483,0.223,0.817,0.201,0.053,-2.204,4.264
benint000and,LF,10,BOS,0.267,0.337,0.417,0.150,0.754,0.176,0.028,1.791,2.329
betts-000mar,OF,10,LAD,0.290,0.372,0.518,0.228,0.890,0.134,0.051,-0.691,8.127
bichet000bo-,SS,7,TOR,0.294,0.337,0.469,0.175,0.806,0.194,0.036,2.523,4.537
bogaer001xan,SS,10,BOS,0.288,0.355,0.459,0.170,0.814,0.176,0.034,-0.573,4.370
bregma001ale,3B,10,HOU,0.272,0.365,0.481,0.208,0.846,0.134,0.046,-5.165,5.693
bryant001kri,3B,10,CHC,0.272,0.368,0.482,0.210,0.849,0.222,0.047,-7.552,3.941
busch-002mic,1B,3,CHC,0.249,0.333,0.470,0.221,0.803,0.265,0.052,0.142,3.366
buxton000byr,CF,10,MIN,0.249,0.310,0.494,0.245,0.805,0.285,0.056,-1.705,5.594
castel002nic,OF,10,DET,0.275,0.324,0.477,0.202,0.801,0.230,0.042,-0.804,1.454
castro003wil,OF,7,DET,0.244,0.313,0.384,0.140,0.697,0.241,0.024,-1.844,0.921
confor001mic,OF,9,NYM,0.244,0.343,0.439,0.196,0.783,0.240,0.047,-1.498,2.184
correa000car,SS,10,HOU,0.275,0.352,0.460,0.185,0.812,0.205,0.041,-5.929,5.763
crow-a000pet,CF,3,CHC,0.240,0.285,0.437,0.198,0.722,0.242,0.042,-0.547,4.501
devers000raf,3B,9,BOS,0.276,0.349,0.506,0.231,0.855,0.220,0.053,-3.345,3.780
flores003wil,3B,10,SFG,0.260,0.322,0.440,0.180,0.762,0.145,0.042,0.682,1.238
frazie001ada,2B,10,PIT,0.264,0.326,0.383,0.119,0.709,0.140,0.017,7.034,2.084
freema002fre,1B,10,ATL,0.307,0.396,0.533,0.226,0.929,0.179,0.049,-2.603,5.596
goldsc001pau,1B,10,STL,0.283,0.371,0.490,0.207,0.861,0.225,0.048,-7.389,4.526
grichu001ran,OF,10,TOR,0.249,0.296,0.460,0.211,0.756,0.241,0.047,-3.224,1.443
happ--000ian,OF,9,CHC,0.247,0.343,0.447,0.200,0.790,0.264,0.045,-2.853,3.187
harper002bry,OF,10,PHI,0.276,0.387,0.519,0.243,0.907,0.218,0.058,1.476,4.361
hernan000teo,OF,10,TOR,0.261,0.316,0.484,0.223,0.800,0.290,0.054,-3.059,2.796
heywar001jas,OF,10,CHC,0.243,0.320,0.387,0.144,0.707,0.169,0.028,-4.588,1.900
hoerne000nic,2B,7,CHC,0.282,0.340,0.384,0.102,0.723,0.110,0.014,3.679,5.007
hoskin000rhy,1B,8,PHI,0.238,0.344,0.475,0.237,0.820,0.250,0.059,-2.828,2.200
iglesi001jos,SS,9,DET,0.277,0.318,0.384,0.107,0.702,0.126,0.014,4.069,1.533
judge-001aar,OF,10,NYY,0.294,0.413,0.615,0.322,1.028,0.274,0.090,-9.253,8.807
julien000edo,2B,3,MIN,0.232,0.336,0.382,0.150,0.717,0.317,0.034,-1.552,1.001
kelly-001car,C,10,ARI,0.229,0.312,0.384,0.155,0.696,0.202,0.036,-3.678,1.863
kepler001max,OF,10,MIN,0.235,0.316,0.426,0.190,0.742,0.186,0.043,0.053,2.801
larnac000tre,OF,5,MIN,0.241,0.323,0.403,0.162,0.726,0.267,0.036,-2.744,1.158
lewis-002roy,3B,4,MIN,0.255,0.310,0.453,0.198,0.762,0.212,0.050,-0.569,2.487
lindor000fra,SS,10,CLE,0.271,0.341,0.475,0.204,0.816,0.164,0.047,1.454,5.814
machad001man,3B,10,SDP,0.278,0.340,0.495,0.217,0.835,0.177,0.054,-2.564,5.030
