word,count
the,4572970
a,2116358
to,1912219
in,1664870
and,1541315
of,1440284
##TEAM,1381329
he,842478
s,830535
for,807335
that,799701
with,734810
his,671888
is,645675
on,633972
as,504251
##LOC,495802
it,481009
be,470990
at,441372
this,440889
was,424434
has,414593
but,397109
season,395733
have,357080
t,301384
year,295512
they,279556
will,274767
an,267879
out,256803
are,255051
from,252865
one,247158
not,225257
up,224684
two,219272
their,216046
team,213804
him,212248
first,202455
game,199679
been,199584
i,194392
if,189538
would,188696
all,188313
more,183716
could,173111
last,169058
by,167934
who,166072
league,165493
had,163289
just,163001
time,160304
there,158411
or,156197
after,156058
over,151129
can,146619
innings,144576
three,144136
we,139816
some,138151
also,136468
back,136420
games,134678
runs,133288
while,132618
so,130890
when,128252
you,126689
only,123053
than,122494
era,122451
like,120569
home,119644
hit,116385
right,116349
off,115126
run,114608
what,111982
against,109300
now,108957
into,108645
players,108184
get,106931
trade,106650
were,105972
second,105600
still,104079
top,99339
baseball,97926
no,97430
which,94364
well,93792
start,93714
about,93199
base,92991
make,92810
even,92462
four,90155
mlb,89385
good,87021
years,86912
roster,86007
free,85997
best,85888
most,83675
career,83529
going,83493
left,83326
may,83300
big,83216
player,82517
mm,81857
deal,81593
since,81378
day,80561
inning,80039
pitching,79556
third,77366
both,76887
much,76506
before,76392
th,76333
rotation,75666
five,75183
though,74928
other,74874
made,74512
series,74115
next,72073
plate,71352
should,70780
bullpen,70768
average,69724
field,69324
down,69022
another,68492
club,68366
them,68033
play,67980
being,67977
any,67356
through,67250
starting,66907
do,66757
those,66607
however,65962
how,64629
see,64385
ll,63624
old,62802
then,62403
rate,62002
pitcher,61863
way,61690
did,59754
teams,59298
better,59122
need,58835
likely,58124
long,58011
win,57383
seasons,57189
ball,57174
offseason,57040
hits,56999
look,56358
##LEAGUE,55975
high,55044
re,54909
major,54793
take,54590
go,53790
very,53407
contract,53241
prospect,53096
six,52705
pitch,52542
hitting,51815
end,51557
starts,50521
few,50015
minor,49652
triple,49494
injury,49425
k,49283
d,49120
fans,48747
pitchers,48418
list,48361
during,48357
young,48204
got,47741
said,47586
here,47183
around,47099
where,46881
walk,46605
spot,46407
appearances,46079
might,45908
batting,45552
many,45368
least,45343
past,45252
lineup,45137
starter,44706
week,44596
far,44530
spring,44291
went,44129
double,44027
return,43815
position,43382
won,43138
ve,43048
star,43011
line,42881
come,42442
move,42201
put,42042
already,41985
agent,41572
hitter,41209
night,41143
don,41087
new,40765
these,40636
again,40565
rbi,40316
playing,40294
million,40197
work,40152
because,39963
didn,39541
pitched,39380
option,39358
man,39212
point,39176
came,39014
prospects,38779
coming,38377
bat,38376
lead,38024
early,37999
seven,37987
played,37508
yet,37455
part,37210
getting,37126
great,36868
record,36693
things,36608
really,36531
between,36459
manager,36326
signed,36301
power,36275
lot,36170
market,35800
think,35765
ops,35703
bb,35262
isn,35165
handed,35116
doesn,34896
looking,34787
m,34640
enough,34591
outfield,34566
level,34176
each,34165
making,34153
given,34096
too,33971
able,33904
per,33765
allowed,33704
help,33513
same,33485
numbers,33445
pick,33316
world,33249
today,33238
strikeout,33045
deadline,32765
single,32739
baseman,32674
catcher,32671
due,32423
organization,32317
draft,32315
give,32310
potential,32231
little,32016
having,31988
hander,31838
outfielder,31763
strong,31740
former,31714
winter,31671
every,31563
strikeouts,31559
shortstop,31159
walks,31057
half,30931
know,30919
hard,30723
bit,30716
month,30644
future,30561
center,30451
my,30414
let,30090
pitches,30057
behind,29880
until,29834
once,29734
does,29709
keep,29692
seems,29636
final,29619
solid,29594
role,29504
depth,29460
full,29366
despite,29011
overall,28991
chance,28988
away,28925
hitters,28925
offense,28837
options,28809
days,28801
front,28596
want,28592
late,28426
earned,28399
something,28373
agency,28320
place,28275
training,28247
set,28214
reliever,28197
never,27918
among,27433
signing,27418
majors,27309
times,27290
round,27222
above,27035
injured,27008
eight,26602
nine,26325
batters,26259
recent,26167
value,26095
including,26078
veteran,25957
under,25954
surgery,25749
bats,25669
opening,25615
either,25613
took,25469
b,25412
without,25259
posted,25259
defensive,25070
expected,24906
struck,24901
short,24709
closer,24609
started,24519
why,24472
our,24448
postseason,24420
mark,24390
less,24296
matt,24182
weeks,24086
number,24062
probably,24041
find,23932
wrc,23775
sign,23669
himself,23661
staff,23598
injuries,23542
gave,23462
jr,23442
certainly,23327
ryan,23261
fastball,23226
me,23112
system,23033
bases,23010
course,22945
hasn,22906
performance,22795
currently,22788
term,22755
john,22748
perhaps,22638
open,22586
com,22436
bottom,22397
j,22390
debut,22387
wasn,22374
fourth,22282
say,22216
arm,22175
rookie,22165
done,22148
relief,22104
july,22095
score,22059
such,22029
seen,21858
healthy,21795
ip,21755
possible,21729
homers,21403
its,21297
according,21283
whether,21278
makes,21260
your,21248
fifth,21115
success,21071
defense,21070
add,20991
winning,20892
regular,20761
case,20665
traded,20583
scored,20532
control,20497
side,20495
especially,20463
different,20394
continue,20368
ready,20360
needs,20358
june,20299
talent,20296
rest,20257
leagues,20232
mike,20210
campaign,20144
salary,20052
quite,20032
bad,19999
offensive,19949
fact,19892
righty,19844
mph,19809
clear,19737
lefty,19718
later,19712
comes,19712
rhp,19641
led,19624
jose,19575
office,19549
news,19482
struggled,19471
always,19468
playoff,19424
arbitration,19338
order,19295
lost,19239
low,19238
middle,19175
saw,19162
close,19148
starters,19137
infield,19048
added,19047
allowing,19007
mound,18979
following,18958
acquired,18939
money,18938
us,18870
looked,18638
offer,18634
guys,18611
division,18603
become,18596
worth,18541
couple,18522
plenty,18501
thing,18481
il,18476
current,18441
sure,18438
across,18413
sunday,18390
history,18290
total,18287
via,18158
several,18130
earlier,18123
change,18115
david,18075
giving,18000
tuesday,17970
pretty,17947
august,17893
available,17861
question,17860
st,17809
extra,17788
friday,17775
recently,17734
minors,17723
interest,17696
reason,17517
jays,17427
post,17382
looks,17368
throwing,17343
wild,17331
alex,17314
hope,17237
ability,17199
own,17156
april,17082
plus,17058
loss,17015
job,16986
age,16982
below,16939
price,16890
almost,16882
hot,16881
needed,16868
taking,16813
ahead,16639
ago,16628
addition,16621
along,16553
homer,16544
dh,16542
production,16536
finished,16508
striking,16505
ever,16416
months,16377
september,16364
tommy,16357
announced,16336
results,16294
payroll,16282
spent,16268
reports,16244
percentage,16208
r,16112
stretch,16103
hand,16065
maybe,16055
martinez,15955
turn,15937
prior,15898
opportunity,15862
percent,15741
worst,15739
guy,15735
joe,15732
walked,15687
use,15670
instead,15625
although,15591
saturday,15566
extension,15521
fip,15511
expect,15501
rather,15450
designated,15435
break,15401
assignment,15397
fielder,15382
call,15372
wednesday,15324
decision,15310
group,15290
ninth,15188
moves,15172
pm,15142
seem,15123
bring,15097
significant,15064
monday,14978
contact,14943
pair,14870
ace,14854
hr,14832
tyler,14824
ground,14764
relievers,14674
means,14646
infielder,14640
nick,14625
outs,14603
throughout,14587
multiple,14584
impressive,14565
issue,14552
turned,14542
nothing,14508
nearly,14505
sense,14498
park,14491
key,14482
shoulder,14477
strike,14460
actually,14412
doubles,14406
card,14385
finally,14380
ranked,14301
believe,14283
told,14276
twitter,14246
sixth,14233
moving,14204
feel,14199
non,14196
missed,14162
gets,14157
mvp,14145
ended,14142
playoffs,14135
corner,14013
smith,14001
balls,13967
show,13938
velocity,13893
franchise,13885
soon,13877
whip,13870
forward,13760
stay,13757
aren,13741
correa000car,13729
chris,13712
doing,13702
sent,13675
leading,13575
arms,13574
anything,13512
thursday,13507
name,13488
o,13475
wouldn,13469
remaining,13447
michael,13445
garcia,13436
used,13432
h,13346
someone,13322
swing,13310
adding,13280
throw,13270
josh,13222
agents,13203
face,13188
wins,13167
situation,13128
quality,13106
miss,13106
speed,12998
important,12989
kind,12968
slash,12959
experience,12936
beyond,12918
action,12916
anthony,12912
spots,12910
together,12900
biggest,12899
war,12892
called,12886
trying,12857
eighth,12855
similar,12853
glove,12814
scoring,12802
cole,12791
remains,12785
seventh,12756
interesting,12742
limited,12729
threw,12675
often,12613
combined,12601
placed,12587
mix,12575
gone,12575
sports,12501
otani-000sho,12468
reported,12459
rodriguez,12424
mid,12404
streak,12371
general,12353
farm,12258
losing,12245
continues,12237
jake,12218
step,12217
piece,12207
working,12206
excellent,12186
yesterday,12178
lopez,12173
higher,12155
rehab,12131
impact,12122
tough,12121
begin,12105
further,12082
issues,12078
brought,12068
cost,12027
fit,12002
track,11964
award,11893
bench,11885
try,11884
slider,11874
straight,11870
shot,11868
trading,11863
brandon,11834
martin,11829
luis,11829
runners,11823
weekend,11795
continued,11769
entire,11672
highest,11630
scoreless,11612
jon,11588
matter,11563
judge-001aar,11561
seemed,11538
fan,11528
strain,11527
tonight,11517
real,11504
paul,11444
outing,11435
zone,11426
huge,11406
previous,11384
willing,11353
longer,11338
tied,11312
moved,11308
obviously,11290
struggles,11273
harper002bry,11272
within,11255
themselves,11196
elite,11179
gm,11174
mean,11155
central,11133
names,11130
worked,11120
camp,11113
kyle,11095
terms,11075
happen,11030
road,11022
shown,11009
moment,10981
clubs,10980
remain,10940
stuff,10937
quickly,10923
summer,10890
nice,10890
simply,10872
east,10846
reach,10814
davis,10789
fly,10765
c,10754
aaron,10722
betts-000mar,10721
known,10679
fill,10674
exactly,10671
near,10658
deals,10652
cy,10650
watch,10635
sale--001chr,10628
deep,10607
true,10593
lack,10568
waivers,10550
jordan,10510
unfortunately,10504
figure,10490
found,10477
justin,10471
appearance,10437
hold,10399
improve,10386
goes,10376
williams,10373
others,10366
posting,10364
scott,10356
head,10332
afternoon,10288
victory,10278
approach,10274
showed,10263
provide,10205
thought,10173
austin,10152
appeared,10140
showing,10139
degrom001jac,10111
room,10102
turner,10100
batted,10091
plan,10089
adam,10086
gonzalez,10077
projected,10073
notes,10067
elbow,10062
miller,10055
save,10036
trades,10015
problem,9991
form,9990
followed,9988
people,9978
small,9974
cut,9958
considering,9946
thus,9935
putting,9926
stolen,9899
taylor,9892
bellin000cod,9879
finish,9865
consider,9861
faced,9849
received,9847
haven,9837
machad001man,9820
surprise,9803
everyone,9786
appears,9767
la,9750
type,9743
ten,9726
vs,9720
easy,9718
based,9717
lower,9713
candidate,9708
outside,9686
reached,9650
soto--003jua,9626
thanks,9619
anyone,9579
considered,9575
eventually,9543
entering,9539
verlan001jus,9525
taken,9518
er,9513
strikes,9495
stroma001mar,9483
sanchez,9422
allow,9389
began,9378
particularly,9373
drew,9373
held,9371
hopefully,9360
stats,9350
andrew,9344
rumors,9339
heading,9281
else,9280
notable,9264
fangraphs,9263
fall,9237
batter,9208
everything,9180
reporters,9178
potentially,9151
hernandez,9146
dl,9126
ramirez,9123
buxton000byr,9109
alonso000pet,9108
plays,9106
leave,9081
fwar,9067
earn,9036
optioned,8998
cabrera,8996
chapman,8993
difficult,8941
report,8906
positive,8892
pay,8886
worse,8870
active,8855
health,8843
brian,8838
reportedly,8833
rule,8802
coach,8802
anderson,8797
scherz001max,8795
spend,8790
contracts,8784
poor,8765
possibility,8764
command,8762
west,8751
clearly,8744
ultimately,8743
am,8739
positions,8711
rbis,8704
carlos,8704
link,8691
bregma001ale,8676
questions,8654
jeff,8651
idea,8644
diaz,8613
beat,8603
keeping,8595
ways,8593
tax,8590
upon,8582
kept,8581
perfect,8568
beginning,8566
selected,8561
process,8550
note,8541
unlikely,8541
returning,8535
mind,8519
takes,8513
managed,8500
valuable,8495
seeing,8493
ranks,8477
eligible,8470
slugger,8456
trout-001mik,8453
opt,8427
yes,8399
catching,8380
whole,8378
catchers,8357
spending,8334
development,8329
stint,8311
push,8310
must,8306
consecutive,8303
gray--001son,8291
mostly,8281
struggling,8265
amount,8258
meanwhile,8249
dominant,8224
became,8210
interested,8196
helped,8177
felt,8174
love,8160
wilson,8130
surely,8113
running,8099
tucker001kyl,8074
fun,8068
target,8058
miguel,8056
frames,8024
risk,7981
nd,7976
returned,7954
couldn,7953
outfielders,7931
missing,7918
includes,7910
gold,7908
trevor,7907
chances,7906
points,7904
de,7903
cruz,7894
none,7868
count,7838
rosenthal,7838
hoyer,7834
drafted,7833
rebuild,7824
picked,7810
everyday,7810
ross,7806
walker,7786
decent,7783
rp,7763
october,7755
join,7730
fair,7694
robert,7687
swanso001dan,7648
consistent,7645
acquire,7624
hoping,7615
myers,7594
prove,7586
opponents,7585
latest,7569
eye,7567
acuna,7556
talks,7546
walking,7536
noted,7534
gives,7530
upside,7526
professional,7521
capable,7517
rd,7516
kevin,7500
mlbtr,7494
multi,7486
appear,7445
lefties,7421
thrown,7416
guerrero,7415
effective,7407
improved,7403
wanted,7382
obvious,7360
perez,7341
heyman,7339
complete,7324
facing,7323
focus,7301
whom,7289
president,7284
lose,7280
wants,7269
competitive,7236
north,7225
definitely,7224
saves,7218
jackson,7202
somewhat,7193
included,7187
picks,7184
land,7184
gotten,7179
result,7178
stanto003mic,7176
service,7173
upgrade,7170
hall,7161
backup,7152
obp,7149
runner,7144
pieces,7129
story,7127
pinch,7120
writes,7115
leadoff,7109
freema002fre,7108
march,7102
dealt,7097
rough,7081
advantage,7065
slashed,7064
highly,7058
named,7052
mentioned,7046
leaving,7040
core,7030
range,7023
serious,7007
changeup,7001
espn,6990
guaranteed,6975
race,6967
factor,6963
daniel,6961
dropped,6923
younger,6919
offers,6911
sp,6908
sample,6898
defensively,6891
title,6891
chase,6886
build,6875
wrong,6865
reasons,6863
taillo001jam,6857
candidates,6850
hunter,6847
slugging,6841
dealing,6835
wait,6832
garrett,6832
utility,6818
travis,6790
trip,6786
solo,6784
chart,6773
include,6770
knee,6768
receive,6751
bringing,6735
recorded,6728
joey,6706
loaded,6702
happened,6699
operations,6692
outings,6687
released,6682
winner,6673
split,6661
class,6655
swinging,6655
feels,6653
talk,6638
fell,6596
scheduled,6593
breakout,6591
p,6588
realmuto,6581
neither,6579
devers000raf,6569
suffered,6569
favorite,6563
kersha001cla,6559
lee,6555
southpaw,6553
leads,6549
regardless,6547
promoted,6540
expectations,6536
breaking,6535
choice,6535
entered,6524
immediately,6523
eric,6518
opportunities,6517
decided,6513
surprising,6508
catch,6504
arguably,6501
life,6497
previously,6497
status,6493
media,6491
saying,6489
reyes,6472
doubt,6466
rogers,6462
donaldson,6461
figures,6457
spring001geo,6452
fairly,6450
sides,6447
stands,6432
international,6432
slightly,6429
possibly,6412
qualifying,6405
replacement,6402
unless,6399
twice,6395
bogaer001xan,6379
luxury,6366
stadium,6362
contreras,6359
remember,6358
confor001mic,6349
paid,6348
board,6333
plans,6317
decisions,6296
lhp,6290
veterans,6284
owns,6281
elsewhere,6277
wheele001zac,6274
successful,6265
relatively,6265
provided,6262
onto,6252
rankings,6244
compared,6242
answer,6239
stars,6239
talented,6236
guarantee,6209
productive,6203
james,6201
asked,6194
using,6182
difference,6179
championship,6172
returns,6160
strength,6155
drive,6152
arraez000lui,6145
tweets,6136
says,6121
tell,6107
effort,6106
easily,6104
hopes,6102
bruce,6098
ending,6086
hurt,6082
corey,6077
toward,6072
seemingly,6071
platoon,6063
america,6055
levels,6050
competition,6038
member,6038
extended,6017
tomorrow,6017
slot,6004
signs,6001
ken,5996
gurriel,5990
changes,5986
primary,5983
quick,5978
agreement,5973
opposing,5966
ozuna-002mar,5939
south,5936
leverage,5931
bichet000bo-,5930
kimbre001cra,5923
aaa,5918
murphy,5916
upcoming,5910
send,5902
exit,5902
morning,5899
shouldn,5894
fine,5890
patrick,5883
additional,5877
acquisition,5876
schedule,5875
completely,5863
weren,5858
defender,5858
syndergaard,5850
mccutc001and,5842
cash,5834
jason,5832
replace,5815
altuve001jos,5812
darvis001yu-,5811
concern,5799
lewis-002roy,5796
lindor000fra,5795
area,5781
follow,5778
zach,5771
abreu,5770
ss,5764
school,5749
rates,5744
counsell,5741
live,5739
acquiring,5737
avoid,5733
pace,5715
generally,5712
watching,5702
whose,5699
exchange,5691
slashing,5691
network,5688
clubhouse,5667
suzuki001sei,5666
jonathan,5662
state,5661
luke,5652
shut,5649
profile,5643
keuchel,5642
fielding,5632
slow,5631
college,5629
agreed,5624
yelich001chr,5622
craig,5622
bradley,5619
joining,5608
path,5605
talking,5586
compete,5585
error,5581
additions,5573
marte-001sta,5567
pen,5567
jones,5563
saved,5561
marks,5550
gordon,5546
caught,5538
arenad001nol,5520
sanche001gar,5495
tossed,5491
ben,5490
match,5485
nimmo-000bra,5481
stand,5466
towards,5465
exciting,5463
offensively,5459
crow-a000pet,5448
pa,5446
consistently,5444
luck,5434
certain,5431
activated,5412
snell-000bla,5407
fully,5394
pop,5389
large,5385
city,5379
massive,5377
presence,5377
bonus,5377
eovald001nat,5355
contention,5354
tie,5353
truly,5350
fellow,5346
decade,5332
foot,5331
produced,5321
extremely,5316
officially,5308
failed,5306
brad,5306
frame,5306
happ--000ian,5300
castro,5299
disappointing,5299
metrics,5294
hamstring,5291
whatever,5283
buyout,5280
derek,5277
december,5274
check,5274
drop,5271
largely,5256
curveball,5253
seager,5243
shows,5242
imagine,5236
scenario,5236
absence,5234
absolutely,5226
leaves,5219
hoerne000nic,5218
attention,5218
jump,5217
table,5215
diaz--004edw,5211
kelly,5205
waiting,5199
improvement,5196
knows,5187
indeed,5183
stick,5181
article,5169
wright,5165
peralta,5160
particular,5147
cease-000dyl,5145
roughly,5138
sitting,5137
hicks,5133
likes,5129
disabled,5122
turning,5116
clip,5113
force,5100
quinta001jos,5100
broke,5098
proven,5094
castel002nic,5078
stop,5071
happens,5068
advanced,5060
hole,5042
brett,5038
majority,5037
latter,5034
involved,5032
package,5031
door,5023
shutout,5019
ask,5013
lowest,5010
singled,5003
aggressive,5003
switch,4997
grade,4994
promising,4989
sit,4982
frazier,4976
percentile,4974
babip,4973
opener,4972
sinker,4968
decide,4961
shortened,4952
pipeline,4939
earning,4938
fewer,4930
johnson,4930
sweep,4929
joined,4923
damage,4923
carry,4918
sits,4918
caliber,4914
brings,4914
holding,4911
meaning,4910
bell--007jos,4909
danny,4908
headed,4905
direction,4901
drove,4898
superstar,4893
changed,4891
comments,4891
picture,4889
uniform,4886
burnes000cor,4882
aside,4870
bucs,4868
bryant001kri,4867
confidence,4866
brief,4864
situations,4860
tried,4853
zack,4851
florida,4850
ratio,4846
tatis,4838
singles,4837
pull,4826
cards,4819
pressure,4818
enter,4813
happy,4808
bryan,4807
proved,4806
finding,4796
becoming,4791
fort,4788
period,4786
wichita,4783
concerns,4781
hands,4777
claimed,4776
battle,4774
present,4773
promotion,4768
evening,4763
balance,4762
dave,4760
adds,4757
box,4754
meetings,4752
develop,4747
squad,4742
regarding,4740
landed,4729
asking,4727
example,4713
rodon-000car,4711
trips,4699
mcneil000jef,4698
rizzo,4696
cespedes,4690
ownership,4686
kepler001max,4681
flexibility,4679
november,4674
montgomery,4673
rodrig006edu,4670
trouble,4669
increase,4665
problems,4661
trio,4661
size,4654
handle,4647
imanag000sho,4646
attempt,4642
financial,4637
versus,4636
excited,4632
nola,4630
bigger,4630
sean,4629
date,4626
combination,4624
performances,4621
steve,4617
righties,4617
recalled,4611
schwar001kyl,4607
adams,4605
necessarily,4602
francisco,4598
rebuilding,4591
support,4584
gerrit,4581
losses,4579
respectively,4575
greene,4561
giolit000luc,4552
upper,4548
entirely,4537
parts,4526
crawford,4524
alone,4515
forced,4512
otherwise,4512
wrote,4507
rival,4506
boyd--000mat,4501
daily,4492
averaged,4491
struggle,4484
hosmer,4481
ct,4480
wall,4474
vazque001chr,4473
established,4471
rapids,4469
produce,4469
contender,4463
removed,4461
cedar,4449
comfortable,4449
speaking,4447
voting,4443
opened,4441
santana,4438
thinking,4429
saints,4423
tanner,4416
covid,4408
matz--001ste,4408
benefit,4405
knew,4402
morton001cha,4392
harvey,4391
rojas,4386
fire,4381
bounce,4376
required,4376
span,4375
annual,4375
benint000and,4374
minimum,4374
smith-000dom,4373
suggests,4367
sort,4365
odds,4362
hernan000teo,4359
favor,4358
performed,4343
backs,4341
pulled,4328
corbin,4320
underwent,4319
ballpark,4316
wood,4315
sport,4312
skills,4310
official,4308
feeling,4307
incredible,4307
teammates,4304
tenure,4302
boras,4299
read,4294
alvarez,4291
progress,4290
evan,4290
intriguing,4285
l,4283
ton,4273
hill,4272
story-000tre,4271
sacrifice,4271
outstanding,4271
sometimes,4267
light,4262
finishing,4259
reaching,4258
tim,4257
necessary,4257
gausma001kev,4251
rosario,4248
building,4240
leader,4236
tony,4235
rank,4229
jacob,4225
share,4208
selection,4207
polanc001jor,4206
urias,4191
becomes,4179
require,4177
essentially,4172
native,4169
reliable,4168
severi000lui,4166
landing,4150
jorge,4150
assuming,4148
significantly,4143
glasno000tyl,4139
jimenez,4138
belt,4128
typically,4128
stole,4119
shaw--000mat,4119
steal,4108
space,4105
signings,4102
fried-001max,4101
ronald,4095
wind,4094
locked,4090
statcast,4090
max,4085
boost,4084
flaher000jac,4081
usually,4078
hendri001kyl,4078
mention,4076
goldsc001pau,4073
turns,4070
special,4070
drs,4064
cora,4062
woba,4060
row,4051
super,4050
ranking,4049
puts,4048
logan,4044
familiar,4044
anders003tim,4041
view,4035
dylan,4033
pablo,4032
lugo--000jac,4029
pham--001tho,4026
grichu001ran,4025
throws,4023
scouting,4020
noah,4018
rosari000ame,4015
owner,3995
movement,3993
serve,3992
alongside,3990
ba,3981
errors,3971
itself,3968
torres000gle,3966
ian,3966
harrison,3964
version,3963
hader-000jos,3959
steele000jus,3958
projections,3957
inflammation,3955
suggested,3954
threat,3953
feet,3948
primarily,3948
heard,3947
sell,3946
threshold,3944
main,3943
alcant000san,3937
phils,3936
white,3934
keeps,3933
contest,3933
wonder,3931
calling,3926
diamond,3925
test,3921
anywhere,3918
fast,3916
santan001car,3915
sending,3915
blow,3915
remained,3913
wong,3912
friendly,3907
bailey,3905
prime,3901
king,3895
thomas,3888
castil013lui,3879
cannot,3877
bader-000har,3877
lock,3876
busch-002mic,3862
address,3861
create,3858
family,3856
handful,3856
lance,3854
goal,3849
stephen,3844
affiliate,3839
dallas,3837
fish,3836
discussed,3833
controllable,3828
matchup,3827
recovery,3826
opposite,3825
lone,3824
paddac000chr,3819
guess,3817
bet,3813
spencer,3811
february,3810
logged,3809
books,3803
cano,3802
oblique,3796
update,3793
cashman,3792
tier,3792
pool,3779
bautista,3778
hill--002ric,3777
jay,3772
surrendered,3768
reasonable,3768
pre,3767
harris,3763
berrio000jos,3760
suggest,3759
event,3758
cf,3754
suarez,3753
christian,3753
steals,3752
holds,3749
corresponding,3749
slated,3746
lynn,3744
remainder,3742
pursue,3739
claim,3736
decline,3735
ramos,3733
setting,3731
iglesi001jos,3730
keller000mit,3730
coaching,3723
bobby,3718
safe,3717
paying,3712
passed,3708
tying,3706
basis,3706
bright,3703
syracuse,3700
peterson,3695
conversation,3686
zero,3683
nobody,3682
moments,3680
carpenter,3674
contenders,3673
heavily,3670
jed,3668
men,3663
business,3659
reynol000bry,3658
fernando,3656
castro003wil,3655
heavy,3654
pass,3652
offered,3649
juan,3649
rob,3648
built,3645
bob,3640
stewart,3634
moore,3634
extend,3630
pillar000kev,3628
teammate,3626
presumably,3624
semien001mar,3616
nelson,3616
depending,3616
surge,3615
classic,3612
gap,3611
indicated,3603
jesse,3601
january,3601
arnaud,3600
pro,3595
soler-000jor,3594
grand,3593
legitimate,3592
release,3590
archer,3584
experienced,3584
ones,3578
basemen,3569
cover,3568
stellar,3565
doubled,3555
infielders,3554
welcome,3553
vladimir,3553
miles,3552
kim,3551
stage,3549
moncad000joh,3548
versatility,3541
apparently,3540
aa,3539
dan,3534
limit,3534
lemahieu,3533
air,3532
fowler,3529
musgrove,3529
jim,3527
press,3526
pact,3524
pushed,3518
hoped,3515
dominican,3514
wallne000mat,3514
works,3510
waiver,3501
fresh,3499
tender,3495
lists,3495
encarnacion,3490
hayes,3483
frazie001ada,3482
listed,3482
comeback,3482
services,3481
green,3479
gallo,3476
projects,3474
shy,3469
wade,3468
steven,3467
rosters,3460
jesus,3460
surprised,3455
understand,3454
except,3450
ideal,3446
hear,3444
x,3442
ceiling,3441
weak,3440
julien000edo,3438
wrigley,3437
oh,3435
route,3430
ends,3429
suarez001eug,3427
pomera001tho,3423
iowa,3423
brown,3423
challenge,3419
slump,3417
miley-001wad,3413
buffalo,3409
maeda-001ken,3406
roles,3402
radar,3401
increased,3399
wacha-001mic,3398
yamamoto,3398
immediate,3396
information,3396
various,3395
video,3393
usual,3393
encouraging,3392
window,3391
bauer,3390
billy,3390
reference,3386
dombrowski,3385
fits,3385
terrible,3384
shane,3384
stealing,3379
