word	type	count	position	team
the	word	4572970	N/A	N/A
a	word	2116358	N/A	N/A
to	word	1912219	N/A	N/A
in	word	1664870	N/A	N/A
and	word	1541315	N/A	N/A
of	word	1440284	N/A	N/A
##TEAM	word	1381329	N/A	N/A
he	word	842478	N/A	N/A
s	word	830535	N/A	N/A
for	word	807335	N/A	N/A
that	word	799701	N/A	N/A
with	word	734810	N/A	N/A
his	word	671888	N/A	N/A
is	word	645675	N/A	N/A
on	word	633972	N/A	N/A
as	word	504251	N/A	N/A
##LOC	word	495802	N/A	N/A
it	word	481009	N/A	N/A
be	word	470990	N/A	N/A
at	word	441372	N/A	N/A
this	word	440889	N/A	N/A
was	word	424434	N/A	N/A
has	word	414593	N/A	N/A
but	word	397109	N/A	N/A
season	word	395733	N/A	N/A
have	word	357080	N/A	N/A
t	word	301384	N/A	N/A
year	word	295512	N/A	N/A
they	word	279556	N/A	N/A
will	word	274767	N/A	N/A
an	word	267879	N/A	N/A
out	word	256803	N/A	N/A
are	word	255051	N/A	N/A
from	word	252865	N/A	N/A
one	word	247158	N/A	N/A
not	word	225257	N/A	N/A
up	word	224684	N/A	N/A
two	word	219272	N/A	N/A
their	word	216046	N/A	N/A
team	word	213804	N/A	N/A
him	word	212248	N/A	N/A
first	word	202455	N/A	N/A
game	word	199679	N/A	N/A
been	word	199584	N/A	N/A
i	word	194392	N/A	N/A
if	word	189538	N/A	N/A
would	word	188696	N/A	N/A
all	word	188313	N/A	N/A
more	word	183716	N/A	N/A
could	word	173111	N/A	N/A
last	word	169058	N/A	N/A
by	word	167934	N/A	N/A
who	word	166072	N/A	N/A
league	word	165493	N/A	N/A
had	word	163289	N/A	N/A
just	word	163001	N/A	N/A
time	word	160304	N/A	N/A
there	word	158411	N/A	N/A
or	word	156197	N/A	N/A
after	word	156058	N/A	N/A
over	word	151129	N/A	N/A
can	word	146619	N/A	N/A
innings	word	144576	N/A	N/A
three	word	144136	N/A	N/A
we	word	139816	N/A	N/A
some	word	138151	N/A	N/A
also	word	136468	N/A	N/A
