word	type	count	position	team
albies000ozh	player	2703	2B	ATL
alcant000san	player	3937	SP	FLA
alonso000pet	player	9108	1B	NYM
altuve001jos	player	5812	2B	HOU
alvare000yor	player	3186	DH	HOU
anders003tim	player	4041	SS	CHW
arenad001nol	player	5520	3B	COL
arraez000lui	player	6145	2B	MIN
assad-000jav	player	2263	SP	CHC
bader-000har	player	3877	CF	STL
baez--000jav	player	3363	SS	CHC
bassit000chr	player	2350	SP	OAK
bell--007jos	player	4909	1B	PIT
bellin000cod	player	9879	OF	LAD
benint000and	player	4374	LF	BOS
berrio000jos	player	3760	SP	MIN
betts-000mar	player	10721	OF	LAD
bichet000bo-	player	5930	SS	TOR
bogaer001xan	player	6379	SS	BOS
boyd--000mat	player	4501	SP	DET
bregma001ale	player	8676	3B	HOU
brown-009ben	player	2708	RP	CHC
bryant001kri	player	4867	3B	CHC
burnes000cor	player	4882	SP	MIL
busch-002mic	player	3862	1B	CHC
buxton000byr	player	9109	CF	MIN
castel002nic	player	5078	OF	DET
castil013lui	player	3879	SP	CIN
castro003wil	player	3655	OF	DET
cease-000dyl	player	5145	SP	CHW
confor001mic	player	6349	OF	NYM
correa000car	player	13729	SS	HOU
crow-a000pet	player	5448	CF	CHC
darvis001yu-	player	5811	SP	SDP
degrom001jac	player	10111	SP	NYM
devers000raf	player	6569	3B	BOS
diaz--004edw	player	5211	RP	NYM
duran-000jho	player	3229	RP	MIN
eovald001nat	player	5355	SP	BOS
flaher000jac	player	4081	SP	STL
flores003wil	player	3022	3B	SFG
frazie001ada	player	3482	2B	PIT
freema002fre	player	7108	1B	ATL
fried-001max	player	4101	SP	ATL
fulmer002mic	player	2832	RP	DET
gausma001kev	player	4251	SP	TOR
gibson002kyl	player	2837	SP	MIN
giolit000luc	player	4552	SP	CHW
glasno000tyl	player	4139	SP	TBD
goldsc001pau	player	4073	1B	STL
gray--001son	player	8291	SP	CIN
grichu001ran	player	4025	OF	TOR
hader-000jos	player	3959	RP	MIL
happ--000ian	player	5300	OF	CHC
harper002bry	player	11272	OF	PHI
heaney001and	player	2731	SP	ANA
hendri001kyl	player	4078	SP	CHC
hernan000teo	player	4359	OF	TOR
heywar001jas	player	2405	OF	CHC
hill--002ric	player	3777	SP	LAD
hoerne000nic	player	5218	2B	CHC
horton000cad	player	3080	SP	CHC
hoskin000rhy	player	2814	1B	PHI
iglesi001jos	player	3730	SS	DET
imanag000sho	player	4646	SP	CHC
jansen001ken	player	3091	RP	LAD
judge-001aar	player	11561	OF	NYY
julien000edo	player	3438	2B	MIN
keller000mit	player	3730	SP	PIT
kelly-001car	player	2743	C	ARI
kepler001max	player	4681	OF	MIN
kersha001cla	player	6559	SP	LAD
kimbre001cra	player	5923	RP	BOS
larnac000tre	player	2919	OF	MIN
lewis-002roy	player	5796	3B	MIN
lindor000fra	player	5795	SS	CLE
lugo--000jac	player	4029	RP	NYM
machad001man	player	9820	3B	SDP
maeda-001ken	player	3406	SP	LAD
manaea000sea	player	2598	SP	OAK
marte-001sta	player	5567	CF	PIT
matz--001ste	player	4408	SP	NYM
mccann002jam	player	2813	C	DET
mccutc001and	player	5842	OF	PIT
mcneil000jef	player	4698	2B	NYM
miley-001wad	player	3413	SP	MIL
moncad000joh	player	3548	3B	CHW
morel-000chr	player	3361	OF	CHC
morton001cha	player	4392	SP	ATL
nimmo-000bra	player	5481	OF	NYM
otani-000sho	player	12468	DH	ANA
ozuna-002mar	player	5939	DH	ATL
paddac000chr	player	3819	SP	MIN
peders001joc	player	3201	OF	LAD
perez-001sal	player	2988	C	KCR
pham--001tho	player	4026	OF	STL
pillar000kev	player	3628	OF	TOR
pivett000nic	player	2878	SP	BOS
polanc001jor	player	4206	SS	MIN
pomera001tho	player	3423	RP	BOS
profar001jur	player	3361	LF	SDP
quinta001jos	player	5100	SP	CHC
reynol000bry	player	3658	OF	PIT
riley-000aus	player	2763	3B	ATL
robert009dav	player	3089	RP	PHI
rodon-000car	player	4711	SP	CHW
rodrig006edu	player	4670	SP	BOS
rosari000ame	player	4015	SS	NYM
sale--001chr	player	10628	SP	BOS
sanche001gar	player	5495	C	NYY
santan001car	player	3915	1B	CLE
scherz001max	player	8795	SP	WSN
schwar001kyl	player	4607	LF	CHC
semien001mar	player	3616	SS	OAK
severi000lui	player	4166	SP	NYY
shaw--000mat	player	4119	3B	CHC
smith-000dom	player	4373	1B	NYM
snell-000bla	player	5407	SP	TBD
soler-000jor	player	3594	OF	KCR
soroka000mic	player	2831	SP	ATL
soto--003jua	player	9626	OF	WSN
